a,1
about,1
actual,4
ad,5
add,1
advertisement,2
all,1
also,1
and,1
but,2
calculate,1
carefull,1
cases,1
characters,1
copy,1
correct,1
create,1
days,4
each,1
end,1
entered,1
existing,1
feed,1
feel,3
file,8
fixiz,1
for,1
from,9
gdańsk,1
got,1
happy,2
here,1
homework,1
i,4
in,1
input,8
is,10
it,4
iz,4
journal,6
kraków,1
last,2
left,4
letter,1
manually,1
misspelling,1
mistake,1
more,1
my,3
need,1
news,7
normalize,1
not,1
number,1
of,4
one,1
only,2
paragraph,1
point,1
private,6
reading,1
sentence,2
some,1
spaces,1
tex,1
text,10
thank,1
the,6
these,1
this,13
to,5
todayjenny,1
todaysusan,2
txt,8
unhappy,1
until,4
variable,1
view,1
when,1
whitespace,1
whitespaces,1
with,2
words,1
you,2
your,1
łódźłódź,1
